Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"B Rules","EAT",2013,"","static.urbandaddy.com","http://static.urbandaddy.com/uploads/assets/file/pdfs/f1e17f12dec22da632c4e66e11000234.pdf","",14,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,8,"… VERMOUTHS, BITTER AND AROMATIZED WINES ITALY Martini Dry 10 Martini Rosso 10 Martini Rose 10 Cinzano Bianco 10 Cinzano Rosso 10 Averna Amaro … Cocchi Americano 12 Cocchi Rosa 12 Cocchi di Torino 12 Cocchi Braolo Chinato 16 Contratto Vermouth Bianco 14 …"
0,"MA Amerine, VL Singleton","SPECIALTY WINERY PRODUCTS",2020,"Wine","degruyter.com","https://www.degruyter.com/document/doi/10.1525/9780520312654-013/html","",15,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,2,1,"… In addition to the traditional vermouth types, there are many proprietary flavored wines … There are many others, both native and imported (eg, mint-flavored wine, coffee-flavored wine, etc.), but most of them are not widely distributed in this country … Specialty Winery Products …"
0,"B Di Matteo, E Kon","Editorial Commentary: Platelet-Rich Martini or Vodka Hyaluronate? The Dilemma of Drink Selection for the Modern Orthopaedic Surgeon",2021,"","Elsevier","https://www.sciencedirect.com/science/article/pii/S0749806320309427","",16,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,2,1,"… Editorial Commentary. Editorial Commentary: Platelet-Rich Martini or Vodka Hyaluronate … PRP, 7 which, due to its shades, could resemble a nice vermouth. 2 … 3. Bone marrow concentrate (BMC), 8 whose dark red shade reminds that of a strong red wine (and please do not …"
0,"S DAY","All DAy• EvEry DAy",2012,"","soundbitesgrill.com","http://soundbitesgrill.com/wp-content/uploads/2013/07/10-24-2013-Tri-Tent-All-Day-Every-Day-Drinks.docx","",17,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,9,"… Devotion Blood Orange Vodka, Triple Sec, Lime Juice, Sierra Mist and OJ. Apple Bite Martini. Bourbon, Sour Apple Pucker and Cranberry Juice … Orange Juice splash. Daily Wine by the Glass $6. Draft Beer of the Month $4 … Manhattan. Bourbon & Sweet Vermouth. Stinger …"
0,"C Casey","THE ZERO-MARTINI LUNCH",2013,"Landscape Architecture Magazine","JSTOR","","",18,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,8,""
0,"JB Gatewood","Active Cognition in Bartending",,"lehigh.edu","","https://www.lehigh.edu/~jbg1/ActiveCognitionBartending2019.pdf","",19,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,,"… rob roy = scotch sweet vermouth orange/cherry Similarly, a daiquiri, whiskey sour, Tom Collins, and bacardi cocktail are all variants of the basic “sour” recipe: 1 oz … martini and gibson in stemmed cocktail glasses (up), highballs in highball glasses, red wine in globular …"
0,"M COYLE","THEY MADE ME FEEL CIVILIZED",2020,"The Shaken and the Stirred: The Year's Work in …","books.google.com","https://books.google.com/books?hl=en&lr=&id=o-r2DwAAQBAJ&oi=fnd&pg=PT88&dq=wermouth+wine+martini&ots=iGS36EbK9p&sig=A5PbX7QwwoTdWcRusaYbFSjFbGE","",22,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,1,"… That is, fortified wine (vermouth) was always associated with cultural elites; the mixing of fortified wine and grain … As I've already noted, the martini's ratio of vermouth to gin has changed dramatically over the past 150 years, but what matters isn't the quantity of vermouth …"
0,"BE MERRY","DRINK &",,"","","","",23,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,,""
0,"S Samorodova, L Yurchuk","Delicious Italy Wine",2016,"","dspace.nuft.edu.ua","http://dspace.nuft.edu.ua/bitstream/123456789/23214/1/2.%20Delicious_Italy_Wine.pdf","",24,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,2,5,"… of sparkling wines. They are called “Spumante”. The best Italian wine produced in Tuscany.The most famous alcoholic drink from red wine Chianti. The most delicious Chianti is produced in the Chianti region. In Italy are very popular vermouth such as “Martini” and “Cinzano” …"
0,"A McDowell","Drinks: A User's Guide",2016,"","Penguin","","",29,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,5,""
0,"NN Sazhina, AE Ordyan, VM Misin","Antioxidant properties of various alcohol drinks",2014,"Food Composition and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=N9w8DgAAQBAJ&oi=fnd&pg=PA251&dq=wermouth+wine+martini&ots=HmnoW-9Vra&sig=AIHtQG5WfMj3gjNUqsALXixYT-M","",30,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,3,7,"… Parteniyskaya Do- lina, Crimea Magarach, Crimea Krymskoe Sham- panskoe Sevastopol Winery, Crimea Sevastopol Winery, Crimea Artemevkoe … red (coupage) Cognac, 2001 Cognac, 1998 Cognac, 1995 Ordinary cognac, 2005 Port wine, 2008 Vermouth white, 2009 …"
0,"R Small","Philosophy & Cocktails",2016,"Philosophy Now","pdcnet.org","https://www.pdcnet.org/philnow/content/philnow_2016_0113_0028_0030","",31,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,5,"… But this is mislead- ing, because you are not drinking vermouth – only using it to modify the … In con- trast, wines vary even when they come from the same place at different … A wine depends on grapes being planted, grown and fermented – all complex and unpredictable processes …"
0,"T Yakhno, A Pakhomov, A Sanin, V Kazakov…","Small universal E-taster for rapid comparative analysis of liquids",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2006.15565","",35,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,5,1,"… We had a successful collaboration with a winery on parallel assessment of the quality of wines [36] … 8). Page 9. 9 Fig. 8. Software interface. On the left are the hodographs of electrical impedance: 1 - port wine “777” (Russia) and 2 - vermouth “Martini Bianko” (Italy) …"
0,"T Siebert","Wine grapes: Overview of cultivars and products",2018,"FarmBiz","journals.co.za","https://journals.co.za/doi/abs/10.10520/EJC-ff09f310b","",36,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,3,"… The characteristics of investment wines include: • It is proven to hold well over time. • The period from maturity and approachability (the drinking-window plateau) extends over many years … Vermouth: Vermouth is a fortified and aromatised style of wine flavoured with …"
0,"J Goldstein","10. Merging the Worlds of Wine and Food",2013,"Inside the California Food Revolution","degruyter.com","https://www.degruyter.com/document/doi/10.1525/9780520956704-012/html","",37,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,8,"… They also made a champagne, port, sherry, and vermouth, and some of them made madeira … Page 10. MERGING THE WORLDS OF WINE AND FOOD | 271 … “Our first house wines were high-quality bulk wines from the D'Agostini Winery in Amador, and they were very good …"
0,"T Siebert","Agro-processing of fermented beverages: from the vine",2017,"FarmBiz","journals.co.za","https://journals.co.za/doi/abs/10.10520/EJC-79d84d70c","",38,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,4,"… In the production of sherry, wines from different years are aged and then blended using the solera system before the sherry is bottled … Vermouth Vermouth is a fortified and aromatised style of wine which is flavoured with roots, barks, flowers, seeds, herbs and spices …"
0,"C Enoteca","Campo Enoteca",2014,"","Electronic version published by …","","",39,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,7,""
0,"BR Schrand","Through the Glass Clearly",2016,"The Missouri Review","muse.jhu.edu","https://muse.jhu.edu/article/644302/summary","",40,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,5,"… The classic Martini glass,” Barnaby Conrad reminds us, “is stemmed, about six inches high, not curved like a wine glass, but … With two ounces of London Dry gin, and a ratio of 4 to 1 of Vermouth, the cocktail—once properly mixed with ice—will be the perfect and desired …"
0,"T Yakhno, A Pakhomov, A Sanin, V Kazakov…","Drop Drying on the Sensor: One More Way for Comparative Analysis of Liquid Media",2020,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/20/18/5266","",41,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,5,1,"… data sets of drying drops images were prepared, one with consumable fluids (beers, juices, liquors, milk, red wines, and carbonated … assessing the degree of endogenous intoxication in patients with burn disease [26], in veterinary diagnostics [27], in wine recognition, including …"
0,"M Suzuki","SPAIN IN AMERICAN LITERATURE",2020,"","suac.ac.jp","https://www.suac.ac.jp/sp/news/topics/2020/02253/file/20268/bulgaria%20conference%202020.pdf","",42,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,1,"… 2020/8/24 Motoko Suzuki Page 18. Many drinks in The Sun Also Rises: Chablis, a Château Margaux, wine, aguardiente, vermouth, Sherry, absinthe, Fundador, amontillado brandy, beer, Martinis, and rioja alta 2020/8/24 Motoko Suzuki Page 19. Quest for a Hidden Treasure …"
0,"W Wines, RED WINES","Handcrafted Cocktails",2016,"sage","vrconcierge.com","https://vrconcierge.com/wp-content/uploads/2018/11/pacific-catch-walnut-creek-lunch-and-dinner-menu.pdf","",44,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,2,5,"… 49 ROSÉ WINES … Curacao, tiki bitters, charred pineapple, orange slice, on a rock “Manhattan” of the West 14 High West double rye, Carpano Antica vermouth, Domaine de Canton ginger liqueur, orange bitters, candied ginger, orange peel, served up Saint G “Martini” 14 St …"
0,"W Dailey","Cocktail theology",2016,"First Things","search.proquest.com","https://search.proquest.com/openview/a1feed561d1045be69998d45931ab20e/1?pq-origsite=gscholar&cbl=45949","",45,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,5,"… say, “Try it, you'll like it.” If you are able to locate a delicious dry vermouth like Dolin … When it comes to whis- keys and of course wines, the keener one's appreciation of the genre, the greater … By contrast, I would not like- ly dine at a restaurant that featured the box of wine that has …"
0,"SOF SPAIN, G Veltliner, P Noir, P Grigio, S Blanc…","Wine!",,"hotelpigalle.se","","https://www.hotelpigalle.se/wp-content/uploads/2020/01/atelier_menu_SWE.pdf","",46,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,6,,"… 130 525 Wine! ERIKAS & EMMAS VINTERKOLLEKTION Chief Sommelier Erika & Restaurant Manager Emma har plockat ihop en postmodern … California Block Nine Pinot Noir 2018 595 Adelaide Hills Paracombe Wines ”Dolomites” 2017 1195 … 185 1095 Vermouth & Tonic 115 …"
0,"T Pinney","9. Frank Schoonmaker: A Master Teacher",2012,"The Makers of American Wine","degruyter.com","https://www.degruyter.com/document/doi/10.1525/9780520952225-012/html","",47,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,9,"… 1934, a total of eight articles that covered Champagne, Burgundy, Bordeaux, Cognac, the Rhine and Moselle, Vermouth, and the wines … When Schoonmaker had arrived at Ray's winery on that fateful April day, he bore with him the galley proofs of American Wine, which then …"
0,"B Holland","the most macho of readers blush. It's no surprise to learn, then, that Arnold is also a stand-up comedian who even sold a joke to Jay Leno. Allan Scott was only too …",,"search.proquest.com","","https://search.proquest.com/openview/b45a6d33b3c7b77ebb82da9a1e269485/1?pq-origsite=gscholar&cbl=27080","",50,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,,"… They've learned that the fountain of youth / Is a mixture of gin and vermouth” (p.85 … while others offer a bit more: homemade pear, plum, persimmon, peach, blackberry, and elderberry wines—complete with … Don't forget to strain the wine through a clean white sheet, and do a lot …"
0,"N Rothbaum","The Joy of Drinking Barbara Holland",,"search.proquest.com","","https://search.proquest.com/openview/aabbc51b52d896dccb93ce1dfb1bbc38/1?pq-origsite=gscholar&cbl=27080","",51,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,,"… The atmosphere at the winery was far from dry or snooty … Realizing the error of his ways, he ran again, this time investing in 144 gal- lons of rum, wine, hard cider … Village Follies of 1924) as writing, “They've learned that the fountain of youth / Is a mixture of gin and vermouth” (p.85 …"
0,"MI Choate","Italian Migration Funding Global Ties",2017,"The Routledge History of Italian Americans","books.google.com","https://books.google.com/books?hl=en&lr=&id=inM3DwAAQBAJ&oi=fnd&pg=PT463&dq=wermouth+wine+martini&ots=5b3oFtMcSX&sig=MouTq-yRYW-KFuO9HxjyfQlKPKE","",53,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,4,"… Bars sold “martinis” without a drop of Martini vermouth. Oil wholesalers sold “pure olive oil” that was a third, a half or two-thirds cottonseed oil; wine sellers refilled the distinctive Chianti wine flasks with bad American wines and sold them as Italian …"
0,"T Vos","The Botanist and the Vintner: How Wine Was Saved for the World Christy Campbell",,"online.ucpress.edu","","https://online.ucpress.edu/gastronomica/article-abstract/6/3/107/47260","",54,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,,"… graft their vinifera vines onto American rootstock safe from phyl- loxera and continue once again putting out tasty wines … Tara Q. Thomas, Wine & Spirits … in everything from the Aztec hallu- cinogen known as ololiuhqui to the measured concoction of gin and vermouth known as …"
0,"C West","Crossroads West",2012,"","dspace.lib.hawaii.edu","http://dspace.lib.hawaii.edu/bitstream/10790/961/rtmkccb2f3i22_web.pdf","",55,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,9,"… au Beurre 1.50 Piping-Hot Miniature Lobsters from Iceland Broiled in Dry Vermouth CRABMEAT DANTE … Coffee or Tea .25 Milk .25 WITH YOUR DINNER CROSSROADS WEST WINE Proudly, We Offer an Individual Decanter of Our Specially Selected Wines, Your Choice of …"
0,"S Sippel","Recommendations for cocktail recipes",2014,"","researchgate.net","https://www.researchgate.net/profile/Sigurd_Sippel/publication/266142671_Recommendations_for_cocktail_recipes/links/5427431a0cf2e4ce940a2e71/Recommendations-for-cocktail-recipes.pdf","",57,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,7,"… The result is: Manhattan Cocktail 1 dash gum syrup 1 dash bitters orange bitters 1 dash curacao 1/2 wine glass whiskey 1/2 wine glass sweet vermouth MANHATTAN COCKTAIL, SWEET 1/2 oz Martini Sweet Vermouth 1/2 oz Rye Maraschino cherry dash Angostura …"
0,"G Girls","Gastronomic Girls",2014,"","arrow.tudublin.ie","https://arrow.tudublin.ie/foodblir/39/","",59,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,7,"… Verbena Mint Mojito Old-fashioned Sparkling Wine Tequila Whiskey Wine Tasting cocktails mid … Champagne Chemistry Cordial Easter Free Range Hangover Cure Indian Martini Negroni Non- Alcoholic Pichet Prosecco Segway Snug Takeaway Tonic Vermouth quail's eggs …"
0,"MC Laurent","Paolo Arosio Ecole Hoteliere de Lausanne Arts de la table Mr. Cristophe Laurent",,"","","","",61,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,,""
0,"D Broom","Gin The Manual",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=H7knCgAAQBAJ&oi=fnd&pg=PT5&dq=wermouth+wine+martini&ots=CQ_IziL7wB&sig=8SoWfNvd5w_5JW-2SpfVNGJq4hk","",62,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,6,"… Years on, I had my first Martini … more refined spirit to appeal to the brandy-deprived merchant class, Dutch distillers began to aromatize their malt wine, primarily with … The 1698 reprint of its recipe book The Distiller of London (see panel) instructed “that all wines, low wines, lees …"
0,"D Broom","Gin: How to Drink it",2020,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=IbPdDwAAQBAJ&oi=fnd&pg=PT6&dq=wermouth+wine+martini&ots=--j8RpUBra&sig=8LxyjEejpgc1dCPQvPDlOoLQExk","",63,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,1,"… Years on, I had my first Martini … All of the healing waters up until this point had been wine-based, but a succession of poor harvests and cold weather prompted distillers to turn to what was around … “It wouldn't have made sense for distillers to keep using imported wines when they …"
0,"C Tichi","Introduction “A Gilded Cocktail”",2021,"Gilded Age Cocktails","degruyter.com","https://www.degruyter.com/document/doi/10.18574/9781479805266-001/html","",64,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,1,"… copper mining regions of Montana, which called for port wine, brandy, and French vermouth … to request Appolinaris, the “Queen of Table Waters” (named for the patron saint of wine!) … Newspapers that advertised new inventories of liquors, wines, and ale also provided outlets for …"
0,"D Pepsi, G Ale, S Mist, I Tea, S Tea, H Tea","Soft Drinks",2019,"Sage","applebyinn.co.uk","https://www.applebyinn.co.uk/wp-content/uploads/2018/04/Appleby-Inn-Drinks-Menu.pdf","",65,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,6,2,"… Jack Rabbit Merlot : % ABV 13.5 USA £3.90 £5.20 £14.95 This Merlot is smooth and fruity and full of berry flavours. Ideal if you like your red wines mellow … Page 4. Port, Vermouth & Sherry 50ml Martini Extra Dry … 1. : 17.5% ABV 90 Stone's Green Ginger Wine £1. : 13.5% ABV 90 …"
0,"J Smolens","One One Thousand",2015,"Southern Review","muse.jhu.edu","https://muse.jhu.edu/article/565941/summary","",66,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,6,"… “Forget the wine,” he said. “Right … Closing her eyes, she swallowed the clean, icy concoction of vodka augmented by a hint of vermouth … “True. We'd turn it into legend—Mom died while we were on our second martini.” She leaned back until her skull rested against the wall …"
0,"G Emilio","Drinking to the Wolf in a Time of Pandemic (or War or Peace)",2021,"Gastronomica: The Journal for Food Studies","online.ucpress.edu","https://online.ucpress.edu/gastronomica/article-abstract/21/1/106/116216","",68,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,1,"… After bashing dry martinis, and before offering a dependable recipe for making your own vodka, Fisher advocates for vermouth, sherry, and fortified wines as low-ABV alternatives to slugging whiskey or thinning gin in the afternoon …"
0,"PO Kuznetsova","Alcohol mortality in Russia: assessment with representative survey data",2020,"Population and Economics","populationandeconomics.pensoft …","https://populationandeconomics.pensoft.net/article/51653/download/pdf/","",70,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,1,"… Page 11. Population and Economics 4(3): 75–95 85 • fortified wine, including industrial production (martini, vermouth) — 18% alcohol on average; • alcoholic cocktails — 7% alcohol on average; • strong alcoholic beverages including vodka, whisky, cognac, hooch — 40 …"
0,"C Carr, B Schwittay","GLOBAL WINNERS, OLIGOPOLISTIC MOVES AND OUTCOMES IN SPIRITS SECTOR 1939–2019",,"api.taylorfrancis.com","","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780429316050-5&type=chapterpdf","",71,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,2,,"… Beam Global was renamed in 2007, as they divested wine activities and refocused as a 'spirits pure-play' company … In 2014, it acquired Martini for $4.6 billion, forming Bacardi-Martini, further extending top-end brands to Martini's vermouth and sparkling wines …"
0,"P Fehribach","The Bar",2015,"The Big Jones Cookbook","degruyter.com","https://www.degruyter.com/document/doi/10.7208/9780226205861-009/html","",73,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,6,"… of Germany, red wines of the Rhône, Piedmont, and Dundee Hills, the fortified wines of Madeira … one hundred American whiskeys on offer, and modest but smart selections of beer and wine … James Bond perhaps did the most damage when he requested his martini “shaken, not …"
0,"J Lord","'Condensed'cocktails: A brief history",2016,"Spirit of Progress","search.informit.org","https://search.informit.org/doi/abs/10.3316/INFORMIT.307790810249668","",74,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,5,"… Emperor Lucius Aurelius, in Roman times, was prescribed a mixed wine-based drink by his physician, while the … is a very potent drink being made with a mixture of whiskey, sweet vermouth and bitters and … In fact, the Martini has become more of a class of drinks than one drink in …"
0,"BFCS TK'S","WHAT WE STAND FOR",,"hospitality.usc.edu","","http://hospitality.usc.edu/wp-content/uploads/2015/07/Edmondson-WINTER-2015-1.12.2015.pdf","",75,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,,"… OLD FASHIONED CHOCOLATE MOUSSE CAKE $5.99 softly whipped cream & raspberry sauce FEATURED WINES Sparkling NV La Marca Prosecco $8/28 … Sweet Science $10 vodka, dry vermouth,fresh lemon juice, simple syrup, red wine float …"
0,"V Moore","How to Drink",2010,"","Andrews McMeel Publishing","","",76,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,11,""
0,"S Lee","CORE Tools and Patient Information: Liquid Calories Add Up!",2010,"Obesity and Weight Management","liebertpub.com","https://www.liebertpub.com/doi/pdf/10.1089/obe.2010.0209","",77,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,11,"… 2 ¼ oz 140 135 Apple Martini (1.5 oz vodka, 1.5 oz DeKuyper Sour Apple Pucker Schnapps, 1.5 oz apple juice) 5 oz 235 150 Manhattan (3/4 oz sweet vermouth, 2.5 oz bourbon whiskey, 1 dash Angostura bitters, 1 maraschino cherry) … 4.1 oz 100 85 Port Wine (20% alcohol) …"
0,"D Serpico, MC Amoretti, M Frixione","The Spirit of Cocktails: On the Conceptual Structure of Cocktail Recipes",2020,"HUMANA. MENTE Journal …","humanamente.eu","http://www.humanamente.eu/index.php/HM/article/view/325","",78,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,3,1,"… would be acceptable, many experts would probably not accept a Negroni with dry vermouth as an … 20 For an application of conceptual spaces to wines, see Amoretti & Frixione (2020 … of tannins (the value of this dimension would be positive for cocktails prepared with wine, tea, or …"
0,"RA CLINCIU-RADU, V ONOFREI, G Teliban…","Research on the flavored drinks have become biological medicinal and aromatic plants.",2016,"Research Journal of …","rjas.ro","https://rjas.ro/download/paper_version.paper_file.9ef4d84869d546d0.436c696e6369755f526f78616e612e706466.pdf","",80,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,4,5,"… Italy is considered the homeland of wine vermouth wormwood containing more than 4%. Since XVIII century in … aroma of flowers and alpine herbs [7]. Currently in Italy all produce wines flavored alcoholic … Turin flavored wine is a sweet wine typical classic flavor and original taste …"
0,"S Sunarintyas, Y Cheah…","Mechanical properties of fiber-reinforced composite resin exposed to alcoholic beverage",2020,"BIO Web of Conferences","search.proquest.com","https://search.proquest.com/openview/b034999630fc38b34193921e466596e3/1?pq-origsite=gscholar&cbl=2040557","",81,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,3,1,"… Vermouth Martini, Italy Alcohol 15 … It was found that wine (9 volume percentage alcohol) had greater composite resin wear effect compared to … Alcoholic beverage (% of alcohol) Flexural strength (MPa) Hardness (KHN) Aquades (0 %, control) Beer (4.5 %) Vermouth (15 %) Rum …"
0,"HOFF WINES","happy hour",2017,"","cdn.oliverbonacininetwork.com","https://cdn.oliverbonacininetwork.com/uploads/sites/27/2016/07/the-guild-full-beverage-menu.pdf","",84,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,4,"… Burnt Cherry Manhattan (2.75oz) 25 Woodford Double Oaked bourbon, Luxardo Cherry Sangue Morlacco, vermouth, fancy cherry Mango Sour (1.5oz) … 8 Page 4. WINES BY THE GLASS Sparkling … Epernay 170 Sparkling Wine Canada Brut, Hillebrand Trius NV Niagara, ON 69 …"
0,"АА Гущина, ИВ Асфондьярова","АНАЛИЗ СТРУКТУРЫ АССОРТИМЕНТА АЛКОГОЛЬНОЙ ПРОДУКЦИИ И ОЦЕНКА КАЧЕСТВА ВЕРМУТОВ РАЗНЫХ ПРОИЗВОДИТЕЛЕЙ",2020,"… ИССЛЕДОВАНИЯ В ОБЛАСТИ …","imet.spbstu.ru","https://imet.spbstu.ru/userfiles/files/pdf/3-chast_obedinennaya.pdf#page=368","",88,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,2,1,"… Keywords: aromatized wines, vermouth, assortment, organoleptic and physico-chemical quality indicators … В магазине представлены такие бренды вермут, как Martini, Cinzano, Gancia, Padro&Co, а также единственный отечественный производитель–Санто-Стефано …"
0,"T Coxen, L Graham","Cheers to Michigan: A Celebration of Cocktail Culture and Craft Distillers",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=dQucDwAAQBAJ&oi=fnd&pg=PR11&dq=wermouth+wine+martini&ots=83IzM9E7xV&sig=RwOQbuu1q0QywtRH8c43f9ZUE1U","",89,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,2,2,"… of whiskey, six gallons of wine, and one quart each of martini cocktails and vermouth were confiscated … The Prohibition of alcohol in the United States had an effect on beers, wines, and spirits … Some wineries in New York and California sur- vived by producing sacramental wine …"
0,"BR Page","8. Gender Assignment Of Latin Loanwords In Early Germanic: A Case Study Of Latin Vinum",2010,"Studies in Classical Linguistics in Honor of Philip Baldi","brill.com","https://brill.com/downloadpdf/book/edcoll/9789004189805/Bej.9789004188662.i-168_009.pdf","",90,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,11,"… Met, is another indication of the strong semantic association between wine and mead … Most of these are loans: Wodka (masc.), Martini (masc.), Chianti (masc.), Brandy (masc … masc.), Tequila (masc.), Gin (masc.), Claret (masc.), Rum (masc.), Wermut 'vermouth (masc.)', Brandy …"
0,"C Tichi","3 To-Go Cup",2021,"Gilded Age Cocktails","degruyter.com","https://www.degruyter.com/document/doi/10.18574/9781479805266-004/html","",92,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,1,"… The Scythia, Sala noted, also stocked “her wines, her spirits, her beer, and her aerated … The wine list dazzled, with beverages ranging from Dog's Head Bass Ale to amontillado … Ingredients 2 ounces gin (chilled) ½ ounce Italian vermouth ½ ounce French vermouth Directions 1 …"
0,"K Plunkett-Hogge","Aperitivo: Drinks and snacks for the Dolce Vita",2017,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ZssEDgAAQBAJ&oi=fnd&pg=PT9&dq=wermouth+wine+martini&ots=wJfbwCO0yu&sig=QiiLwvnvL7s1OwhQG_ORpT3tNEc","",94,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,4,"… RISERVA CARLO ALBERTO VERMOUTH EXTRA DRY A dry and light vermouth, perfect for a dry Martini, or … With something in the region of nearly 400 different grape varieties used to make wine in twenty different regions, which include 73 DOCG wines, 329 DOC wines …"
0,"P Northing, S Hutton","PROJECT NO: V5VA 1040",,"cibr.es","","http://www.cibr.es/ka/apps/cibr/docs/29_09_2010_FERA_Steviol_glycosides_report_September_2010_FERA.pdf","",95,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,2,,"… Sugar & sugar substitutes (dry) Shellfish Sugar spreads (jams / honey) Solid fats/oils/spreads Spirits/liquors (full strength) Water Wet liquid tea/coffees Wines Page 5. Final Report: 29 th September 2010 5 4. Maximum Level data …"
0,"C Tichi","5 Spirited Cities",2021,"Gilded Age Cocktails","degruyter.com","https://www.degruyter.com/document/doi/10.18574/9781479805266-006/html","",97,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,1,"… supposed to be secret.” Alice Roosevelt made no secret of her preference for wines over spirits … Alice may have sipped “a glass of sherry, or madeira, of white wine or claret … or absinthe Few dashes Peychaud's bitters Few dashes Angostura bitters 1 dash Italian vermouth Ice chips …"
0,"T Smith","One for My Baby: A Sinatra Cocktail Companion",2016,"","Peter Owen Publishers","","",98,"2021-05-06 20:54:20","CITATION","","","",,,,,0,0.00,0,1,5,""
0,"A Hisano, NG Chapman","Τhe 'wine revolution'in the United States, 1960–1980: Narratives and category creation",2020,"Business History","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/00076791.2020.1862794","",99,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,2,1,"… and the 1950s, but its new strategy forever changed the American wine industry. 71 Τhe new distribution system allowed the winery to market its branded wines to retailers effectively, and capture the dessert wine market. 72 …"
